ell	D_ell_TT
1115.0	1121.25923
1116.0	1286.09705
1117.0	1295.99057
1118.0	1271.62009
1119.0	1227.47772
1120.0	1216.87838
1121.0	1217.61631
1122.0	1303.83473
1123.0	1259.06662
1124.0	1194.0636
1125.0	1242.67771
1126.0	1242.99961
1127.0	1320.68994
1128.0	1282.57667
1129.0	1223.4878
1130.0	1228.80676
1131.0	1213.82986
1132.0	1218.70537
1133.0	1240.3151
1134.0	1182.66943
1135.0	1159.45802
1136.0	1303.41311
1137.0	1216.28743
1138.0	1202.03647
1139.0	1125.0808
1140.0	1249.89891
1141.0	1178.92901
1142.0	1244.37574
1143.0	1280.86532
1144.0	1105.3781
1145.0	1301.94001
1146.0	1272.40612
1147.0	1230.97086
1148.0	1325.28147
1149.0	1128.73747
1150.0	1132.87077
1151.0	1238.09155
1152.0	1181.14325
1153.0	1240.905
1154.0	1141.33594
1155.0	1306.72469
1156.0	1251.96197
1157.0	1266.89485
1158.0	1208.30748
1159.0	1184.0515
1160.0	1139.5044
1161.0	1259.87447
1162.0	1218.51783
1163.0	1124.0155
1164.0	1195.09067
1165.0	1138.13313
1166.0	1171.36614
1167.0	1165.27307
1168.0	1174.92405
1169.0	1109.55263
1170.0	1143.75263
1171.0	1121.01964
1172.0	1088.25738
1173.0	1172.60082
1174.0	1239.84229
1175.0	1125.24148
1176.0	1095.6122
1177.0	1113.97268
1178.0	1136.94076
1179.0	1199.2128
1180.0	1154.44254
1181.0	1109.80488
1182.0	1221.08689
1183.0	1089.9737
1184.0	1141.34835
1185.0	1092.81946
1186.0	1120.24657
1187.0	1144.00192
1188.0	1166.43246
1189.0	1055.20332
1190.0	1109.35869
1191.0	1163.36048
1192.0	1024.26976
1193.0	1108.4168
1194.0	1037.62442
1195.0	1116.18654
1196.0	1094.72433
1197.0	1076.01924
1198.0	1074.30196
1199.0	996.357041
1200.0	1002.42098
1201.0	997.710826
1202.0	956.706946
1203.0	953.154278
1204.0	1079.00281
1205.0	992.44258
1206.0	1008.33225
1207.0	992.857441
1208.0	954.276019
1209.0	948.965964
1210.0	1046.02109
1211.0	911.729332
1212.0	1041.99296
1213.0	978.822959
1214.0	883.877755
1215.0	1026.37245
1216.0	1037.16016
1217.0	976.691163
1218.0	942.704954
1219.0	1107.50644
1220.0	914.740091
1221.0	930.047371
1222.0	930.30698
1223.0	950.595962
1224.0	955.085603
1225.0	946.286151
1226.0	931.963741
1227.0	935.65131
1228.0	886.212277
1229.0	828.606177
1230.0	966.899
1231.0	872.721582
1232.0	908.214688
1233.0	885.707066
1234.0	900.751363
1235.0	891.009474
1236.0	880.157728
1237.0	894.942076
1238.0	849.857126
1239.0	876.010916
1240.0	963.325503
1241.0	889.492457
1242.0	919.197329
1243.0	903.613366
1244.0	821.55799
1245.0	864.862184
1246.0	861.917818
1247.0	819.85319
1248.0	893.349009
1249.0	919.368227
1250.0	850.319182
1251.0	821.101977
1252.0	785.123694
1253.0	776.259911
1254.0	899.547138
1255.0	779.088988
1256.0	792.331307
1257.0	815.735275
1258.0	765.967117
1259.0	859.896987
1260.0	789.892814
1261.0	797.396027
1262.0	813.53337
1263.0	785.8798
1264.0	761.232052
1265.0	786.30741
1266.0	713.997988
1267.0	722.98415
1268.0	800.562395
1269.0	821.941426
1270.0	784.700945
1271.0	778.431401
1272.0	788.386
1273.0	769.218078
1274.0	737.588356
1275.0	742.005455
1276.0	785.59723
1277.0	801.870356
1278.0	749.409034
1279.0	711.689742
1280.0	735.654071
1281.0	743.753176
1282.0	728.776309
1283.0	754.164394
1284.0	745.858389
1285.0	720.701261
1286.0	788.051864
1287.0	699.7581
1288.0	717.595552
1289.0	768.082665
1290.0	823.700689
1291.0	681.924634
1292.0	833.083037
1293.0	779.075661
1294.0	736.0484
1295.0	729.895909
1296.0	759.542657
1297.0	681.706127
1298.0	750.695487
1299.0	745.812791
1300.0	767.538317
1301.0	730.351222
1302.0	747.956356
1303.0	706.413321
1304.0	708.996341
1305.0	774.685024
1306.0	743.538762
1307.0	649.43723
1308.0	657.665368
1309.0	709.412246
1310.0	747.684482
1311.0	763.26156
1312.0	694.674893
1313.0	730.812404
1314.0	722.426228
1315.0	741.765203
1316.0	759.74093
1317.0	743.190026
1318.0	674.398669
1319.0	671.856085
1320.0	723.571258
1321.0	743.362271
1322.0	751.225145
1323.0	668.577965
1324.0	708.958334
1325.0	702.750755
1326.0	697.048865
1327.0	779.012307
1328.0	733.61117
1329.0	736.485905
1330.0	729.966184
1331.0	739.838185
1332.0	689.84018
1333.0	734.959292
1334.0	822.338717
1335.0	691.621258
1336.0	747.918243
1337.0	790.058938
1338.0	737.434227
1339.0	788.764707
1340.0	737.448423
1341.0	774.881348
1342.0	699.642032
1343.0	716.186631
1344.0	731.700379
1345.0	781.978243
1346.0	741.710861
1347.0	712.866557
1348.0	770.95359
1349.0	731.209295
1350.0	759.874368
1351.0	790.229573
1352.0	721.258561
1353.0	760.334081
1354.0	756.807509
1355.0	781.722013
1356.0	832.232643
1357.0	678.736866
1358.0	792.406618
1359.0	774.684247
1360.0	759.125231
1361.0	785.462475
1362.0	778.510061
1363.0	837.546607
1364.0	806.859476
1365.0	737.921338
1366.0	760.956198
1367.0	793.693789
1368.0	733.303249
1369.0	791.142094
1370.0	785.864511
1371.0	770.662711
1372.0	756.878861
1373.0	883.608824
1374.0	797.714627
1375.0	720.897546
1376.0	763.823608
1377.0	732.638174
1378.0	825.894155
1379.0	774.18171
1380.0	739.967956
1381.0	735.4243
1382.0	762.616765
1383.0	801.148281
